item_id	alpha	topic_vector
ac9b03a8-c293-4670-81de-bedb507dd42b	[2,2,2,20,2,2,2,2,20,2]	[0.00931148,0.01792936,0.09615322,0.33130111,0.01395999,0.02788785,0.04080042,0.02069510,0.42705315,0.01490832]
5605e607-8c93-4c65-8497-d63437ec61da	[2,2,2,20,2,2,2,2,20,2]	[0.00445348,0.06227204,0.03009204,0.48791049,0.02472502,0.04524433,0.02371789,0.02781822,0.28143704,0.01232946]
7bf687be-a9f5-4406-92e6-57fb21097692	[2,2,2,20,2,2,2,2,20,2]	[0.04249867,0.06325576,0.04556886,0.32021236,0.04886046,0.01530451,0.04199876,0.01893249,0.38276546,0.02060267]
68930049-5354-4414-8ce6-3fe580e9fdb6	[2,2,2,20,2,2,2,2,20,2]	[0.04642274,0.02159719,0.04750026,0.21418997,0.06051439,0.01370073,0.08439632,0.02290481,0.48338404,0.00538954]
e8a4f7ae-f12f-4f25-980e-b99555654c88	[2,2,2,20,2,2,2,2,20,2]	[0.06031074,0.01436377,0.05996635,0.33160075,0.02255177,0.06797022,0.01810436,0.08040902,0.31494681,0.02977621]
e6554430-c5f6-4035-907d-c65fbfee1c54	[2,2,2,20,2,2,2,2,20,2]	[0.04092037,0.01268000,0.04668134,0.35019008,0.01496485,0.01476882,0.02622406,0.08831078,0.35950576,0.04575393]
307045e5-6462-4c67-8f24-02a76cd64504	[2,2,2,20,2,2,2,2,20,2]	[0.06072624,0.02161338,0.02942516,0.41824972,0.03821051,0.03490857,0.02579418,0.07263636,0.28127218,0.01716370]
6143409b-e1e3-401f-b6c9-f497d9255b43	[2,2,2,20,2,2,2,2,20,2]	[0.02301334,0.04650780,0.03647453,0.28564880,0.05050870,0.04331913,0.01692507,0.03859597,0.43498349,0.02402317]
e0c164c1-3ec0-4f60-8559-078a53fbc709	[2,2,2,20,2,2,2,2,20,2]	[0.00618322,0.03195563,0.02650850,0.25461655,0.02322947,0.01296933,0.08226836,0.08290624,0.44892900,0.03043370]
f97f86ec-205d-4e3a-b024-ba5c3bf633a2	[2,2,2,20,2,2,2,2,20,2]	[0.02464036,0.06266015,0.02783382,0.39018368,0.03992119,0.09291567,0.00698061,0.01956048,0.28996958,0.04533447]
8ad1d4d6-2454-4982-941a-249f1950b04a	[2,2,2,20,2,2,2,2,20,2]	[0.00644455,0.01510092,0.03327180,0.41411235,0.02741929,0.01533726,0.02272051,0.02184623,0.42697430,0.01677279]
faada883-ef31-4e53-9715-aa69f07b1c6c	[2,2,2,20,2,2,2,2,20,2]	[0.04472727,0.02280245,0.05259052,0.30241320,0.01563759,0.05194499,0.09283701,0.02800092,0.36194697,0.02709907]
7f67fab8-a810-477c-9785-c2290d037cbd	[2,2,2,20,2,2,2,2,20,2]	[0.01672836,0.06596677,0.01044848,0.26685017,0.06651398,0.02417770,0.01173942,0.08813178,0.42117511,0.02826822]
d0140cac-e211-478e-8054-826fc8e41523	[2,2,2,20,2,2,2,2,20,2]	[0.03879021,0.03549678,0.04915614,0.34954520,0.05217608,0.03373154,0.00426163,0.01989283,0.40812995,0.00881963]
eb2c74d9-045b-459d-9a9f-e10d20e8f4b9	[2,2,2,20,2,2,2,2,20,2]	[0.03024062,0.02161917,0.07967982,0.38481835,0.00832108,0.04239571,0.02127139,0.02830531,0.30200938,0.08133918]
05847893-a438-4291-98fa-c60bab3ef7c7	[2,2,2,20,2,2,2,2,20,2]	[0.09959486,0.01984781,0.07395354,0.36950198,0.01884776,0.03915721,0.03510989,0.01617908,0.29124639,0.03656147]
759fcc54-6c3e-4b0a-9aa0-e31993390b5f	[2,2,2,20,2,2,2,2,20,2]	[0.01380516,0.02500226,0.06737268,0.34346291,0.00644702,0.06218496,0.04244862,0.05535413,0.35455276,0.02936950]
5a9ec405-df94-4f49-ba5b-b2c08a7dc66c	[2,2,2,20,2,2,2,2,20,2]	[0.07603093,0.02797620,0.04029107,0.44240022,0.07450737,0.00710667,0.00871734,0.00583918,0.23129433,0.08583667]
f7406b84-baca-488f-93f3-dcf2b5cfdc80	[2,2,2,20,2,2,2,2,20,2]	[0.00092664,0.02417185,0.03726469,0.35619308,0.03068591,0.03236997,0.01020787,0.06850819,0.42539984,0.01427195]
93280b54-3771-438e-bac8-1b068d6c7862	[2,2,2,20,2,2,2,2,20,2]	[0.03294926,0.05837247,0.03069486,0.31195043,0.03780150,0.11977293,0.02034909,0.01559035,0.35588597,0.01663314]
bac03016-b97a-49c2-888b-2c6e648b4af0	[2,2,2,20,2,2,2,2,20,2]	[0.01477660,0.00955861,0.05796527,0.39299915,0.02184526,0.01684794,0.03772142,0.03190264,0.34581425,0.07056886]
d8236dc9-6c58-4f1c-ba9f-6fa0efbe20be	[2,2,2,20,2,2,2,2,20,2]	[0.03455103,0.18152265,0.01536741,0.44206668,0.03332269,0.00943032,0.01301461,0.03779051,0.21085776,0.02207634]
fd3e4748-220d-4865-bb46-8106f17b42b7	[2,2,2,20,2,2,2,2,20,2]	[0.13778553,0.00127495,0.02728212,0.29912619,0.11315441,0.02570346,0.01397739,0.00931189,0.27044387,0.10194019]
