item_id	alpha	topic_vector
211de2b6-f336-413d-b103-8d18d58d0d8a	[2,2,2,2,2,2,2,20,2,2]	[0.02787857,0.13740013,0.04555213,0.00435860,0.07741713,0.07971367,0.04704438,0.51825223,0.01247306,0.04991009]
4c682229-c9cb-4299-90c6-b090de4c89a0	[2,2,2,2,2,2,2,20,2,2]	[0.02223205,0.10418051,0.04223379,0.03818587,0.17576760,0.00471743,0.05389891,0.41770679,0.12852183,0.01255524]
2b51148a-c23b-4a5f-9f62-1fcb4044a337	[2,2,2,2,2,2,2,20,2,2]	[0.06062030,0.05449013,0.00754617,0.06094999,0.02945080,0.06960725,0.02783805,0.58634738,0.04216273,0.06098721]
fabedbea-f1ed-45fa-a5e8-5ed6a7fdcbe4	[2,2,2,2,2,2,2,20,2,2]	[0.06595661,0.03711414,0.03242286,0.06470729,0.02863439,0.03773456,0.11813540,0.51654076,0.07367445,0.02507955]
2c573141-b4c5-4e59-a77d-2a1f8c707fc6	[2,2,2,2,2,2,2,20,2,2]	[0.05818653,0.03858789,0.03319508,0.00660974,0.01830532,0.14917738,0.04017550,0.51832705,0.08319997,0.05423554]
d6c7b939-96ec-4193-9833-4f0e38245f43	[2,2,2,2,2,2,2,20,2,2]	[0.03496836,0.03525475,0.01798582,0.06538308,0.06706483,0.04751415,0.04169928,0.61280397,0.01758875,0.05973701]
12777adb-6c1d-4c8b-83fe-7d5c3b53acc9	[2,2,2,2,2,2,2,20,2,2]	[0.11250330,0.02361414,0.03339761,0.09304559,0.04115695,0.07140600,0.05389566,0.52659674,0.02249500,0.02188900]
17db31af-709c-42d2-9f2a-80aa8a28dcd9	[2,2,2,2,2,2,2,20,2,2]	[0.05328364,0.00920635,0.02841082,0.04798015,0.02730758,0.02984378,0.06064934,0.52322041,0.14217533,0.07792260]
d18fd668-ac53-4fe0-8de3-c482d3a48296	[2,2,2,2,2,2,2,20,2,2]	[0.03316296,0.02286316,0.03354136,0.07009690,0.03637374,0.02755100,0.12924341,0.51596712,0.06622151,0.06497885]
bc2905f2-3ff4-43d8-b2ca-d14b040a2f90	[2,2,2,2,2,2,2,20,2,2]	[0.00768120,0.12871836,0.01765196,0.01243074,0.03347360,0.02403388,0.11520467,0.61791292,0.03095582,0.01193686]
b850c2b8-934d-45b9-8a7a-ace823dc1001	[2,2,2,2,2,2,2,20,2,2]	[0.06644632,0.04001536,0.07311959,0.06142670,0.02503551,0.07986945,0.01590581,0.54759554,0.04294529,0.04764043]
d60ac106-97a5-4b8c-b8df-f40556d1038a	[2,2,2,2,2,2,2,20,2,2]	[0.01478656,0.11138348,0.02469829,0.00921218,0.06215040,0.16667584,0.00763944,0.46200372,0.09175546,0.04969463]
d9c27f7b-35c4-4b33-92a8-e8fcadde0090	[2,2,2,2,2,2,2,20,2,2]	[0.01061194,0.02914655,0.09708100,0.08263706,0.16561546,0.05633987,0.02255459,0.48619743,0.01870859,0.03110750]
72ab3bb4-7f0a-45b1-be77-d25dff9853f1	[2,2,2,2,2,2,2,20,2,2]	[0.02073802,0.06185606,0.05802090,0.02232264,0.08014822,0.09783716,0.02503607,0.48466059,0.10191436,0.04746598]
0f7fe477-1ec0-4578-bd08-076047e3e4bd	[2,2,2,2,2,2,2,20,2,2]	[0.04311519,0.05232849,0.03669031,0.12119562,0.11115627,0.02984889,0.03484135,0.46798688,0.08243894,0.02039805]
82d10f45-10ff-417a-99be-8f067e5e901b	[2,2,2,2,2,2,2,20,2,2]	[0.17723405,0.02343298,0.00685258,0.01699978,0.05940939,0.04475181,0.02299372,0.54915707,0.02911532,0.07005331]
fefa3484-77cb-4418-84b4-93b342e97054	[2,2,2,2,2,2,2,20,2,2]	[0.01697006,0.04943819,0.05101457,0.04252607,0.05950913,0.03957476,0.07291935,0.51863615,0.10016881,0.04924291]
bd6958b8-f4e2-4dbc-89dd-d35344a5b67d	[2,2,2,2,2,2,2,20,2,2]	[0.10547684,0.03020223,0.02072032,0.07978252,0.04740393,0.00446659,0.02587763,0.61688353,0.04429428,0.02489214]
d305a854-2809-44ec-8784-fdd6bb709c5d	[2,2,2,2,2,2,2,20,2,2]	[0.04134327,0.04664589,0.00808167,0.09084984,0.10508501,0.02260876,0.14217453,0.49408673,0.02488003,0.02424427]
fd84b722-149a-4dc4-a0a5-5b659268aa26	[2,2,2,2,2,2,2,20,2,2]	[0.09530010,0.01170378,0.03322780,0.03629523,0.04932950,0.03125415,0.09074943,0.53594916,0.07721831,0.03897253]
0c257f79-486e-4ca4-a05d-43b497baeef8	[2,2,2,2,2,2,2,20,2,2]	[0.06883312,0.02811519,0.07938810,0.02227121,0.01651350,0.01609423,0.05444403,0.60379649,0.10686672,0.00367741]
72a8d7d7-f534-481f-ad17-ba189fa3e3cb	[2,2,2,2,2,2,2,20,2,2]	[0.09042537,0.01955497,0.19768916,0.01412458,0.00887649,0.09170548,0.03369517,0.49238721,0.02394023,0.02760133]
6d80fd57-f4c7-40cd-8859-69fc240c9072	[2,2,2,2,2,2,2,20,2,2]	[0.07509160,0.01606333,0.03240731,0.01455100,0.03927939,0.02515385,0.05119323,0.49318982,0.10267708,0.15039339]
4823541e-c06c-4972-8f56-aa5aadf337c0	[2,2,2,2,2,2,2,20,2,2]	[0.02456496,0.07194418,0.02931843,0.06499996,0.06302210,0.06160686,0.07591365,0.52998764,0.03177532,0.04686689]
89b13b91-978a-4f24-8d9c-8984b58abe3e	[2,2,2,2,2,2,2,20,2,2]	[0.17751427,0.02832366,0.03553398,0.02409245,0.00698501,0.04311783,0.07156250,0.43634403,0.11438229,0.06214398]
8521c2a1-2288-4d3b-b064-4f223883a34b	[2,2,2,2,2,2,2,20,2,2]	[0.08588449,0.05303257,0.03668809,0.03111127,0.05140066,0.05487156,0.02753160,0.47172054,0.14209823,0.04566099]
e9df188c-816d-4fc8-9590-55a89c18dce1	[2,2,2,2,2,2,2,20,2,2]	[0.04687311,0.11395132,0.05275399,0.03942151,0.08017639,0.06803392,0.04775571,0.50459571,0.03173321,0.01470514]
9a108e9d-5f00-4112-93fe-2a08ad2dfad0	[2,2,2,2,2,2,2,20,2,2]	[0.05607795,0.00887040,0.01402778,0.03103107,0.02860718,0.06042246,0.07170419,0.67034527,0.00749582,0.05141787]
cfc063d0-ced8-47a0-ab57-7a192c86a842	[2,2,2,2,2,2,2,20,2,2]	[0.04989915,0.04546377,0.05604208,0.06460152,0.09323379,0.04647492,0.11259179,0.46248815,0.02552502,0.04367982]
d9ac63d3-1f0c-4d67-92f9-5f0be890b5d4	[2,2,2,2,2,2,2,20,2,2]	[0.02351357,0.02459457,0.04353767,0.03882612,0.12029884,0.04311293,0.02061362,0.57067896,0.06099270,0.05383102]
6649ccf7-0b61-4a83-a166-f794237ea79d	[2,2,2,2,2,2,2,20,2,2]	[0.01687538,0.11068799,0.00744863,0.04559859,0.01636533,0.08601164,0.05809888,0.51991651,0.03476964,0.10422743]
657d2cf2-82da-49b7-8aae-04456eb98ec9	[2,2,2,2,2,2,2,20,2,2]	[0.04252053,0.16467396,0.02517402,0.05250361,0.08749540,0.07475029,0.04940985,0.40616463,0.05875002,0.03855768]
5d4f405a-925c-464a-8165-439e9b765ac5	[2,2,2,2,2,2,2,20,2,2]	[0.02779151,0.08052845,0.00730465,0.04489478,0.00215475,0.06641181,0.08111978,0.54656345,0.03150501,0.11172581]
3304c059-ca53-40ff-a652-3a4e35dfd111	[2,2,2,2,2,2,2,20,2,2]	[0.13428248,0.06751217,0.14799334,0.02551416,0.04778267,0.00441489,0.01904271,0.45717254,0.07597992,0.02030511]
5e3836e1-bb89-472f-a329-9112d1d1506b	[2,2,2,2,2,2,2,20,2,2]	[0.03349583,0.03719322,0.01755392,0.06243165,0.07123547,0.01350890,0.09474130,0.55161863,0.03670415,0.08151692]
69220bb1-91f8-4d0e-9189-d0d3ac727147	[2,2,2,2,2,2,2,20,2,2]	[0.03309049,0.01938640,0.05341396,0.10824172,0.09926772,0.03051326,0.02250590,0.50711636,0.10000885,0.02645533]
36aa173b-ccda-43ac-b1a8-677dc760f3d9	[2,2,2,2,2,2,2,20,2,2]	[0.12089764,0.06084945,0.04111385,0.02533550,0.04544192,0.01622554,0.01052377,0.56541026,0.04097219,0.07322989]
87565310-ada0-4f88-953e-bc5d138b973b	[2,2,2,2,2,2,2,20,2,2]	[0.04868378,0.02321918,0.07761274,0.02560488,0.09302621,0.02493871,0.01149674,0.64550215,0.02422716,0.02568846]
87324e0c-c8d7-4908-b000-23a4702783e4	[2,2,2,2,2,2,2,20,2,2]	[0.01107147,0.03290908,0.01249220,0.09265318,0.02671721,0.01652333,0.03748969,0.70156349,0.03880212,0.02977824]
b77a5639-a338-4064-839a-7abe5b1f42c9	[2,2,2,2,2,2,2,20,2,2]	[0.04193090,0.07404953,0.06937485,0.05001272,0.08386872,0.04375051,0.03620111,0.49932165,0.02633278,0.07515722]
bb6e6dc9-f723-4e7f-91e8-1d16654dfed2	[2,2,2,2,2,2,2,20,2,2]	[0.02966961,0.00643055,0.01197935,0.06313770,0.02565343,0.08278248,0.04728426,0.69640291,0.00718369,0.02947602]
e0b5df38-89d2-40b3-bf02-52f37c136113	[2,2,2,2,2,2,2,20,2,2]	[0.01706035,0.17908472,0.02685562,0.00938324,0.04953711,0.01574536,0.07492883,0.58926058,0.01721195,0.02093225]
a33fef14-7728-4a87-9629-378f689408cb	[2,2,2,2,2,2,2,20,2,2]	[0.03676306,0.06086357,0.03995067,0.02140275,0.00902976,0.09305338,0.04065932,0.55605356,0.04497369,0.09725023]
4528f7de-94db-4229-9e7c-4f0667b99dfe	[2,2,2,2,2,2,2,20,2,2]	[0.03430232,0.03658554,0.05826646,0.03191813,0.01401511,0.03998396,0.09942810,0.61812930,0.02516984,0.04220124]
118dc839-567b-4448-8e34-e19cf53bb31f	[2,2,2,2,2,2,2,20,2,2]	[0.02909513,0.04473174,0.06241028,0.02443890,0.04349853,0.06688165,0.03342984,0.60926272,0.03565788,0.05059333]
32014160-68af-4431-91e0-490246ca0533	[2,2,2,2,2,2,2,20,2,2]	[0.00905547,0.06886249,0.03580575,0.02428303,0.01069937,0.06263965,0.10267445,0.48886297,0.15342245,0.04369438]
35ba9a19-5569-4523-99af-0d0e5259e7d3	[2,2,2,2,2,2,2,20,2,2]	[0.03317765,0.06117491,0.04800907,0.01137644,0.02027975,0.06859268,0.04871162,0.61535298,0.04340910,0.04991580]
28d58686-cbfb-4be9-903e-97a8c1566be9	[2,2,2,2,2,2,2,20,2,2]	[0.02536737,0.10695178,0.00428377,0.05375945,0.07273196,0.05892737,0.04629776,0.56514845,0.04778734,0.01874475]
7e71be09-59be-4003-ba9e-665a8d33790a	[2,2,2,2,2,2,2,20,2,2]	[0.04791941,0.02091282,0.02439656,0.01371041,0.21466952,0.04545759,0.01108794,0.48768374,0.08663555,0.04752646]
cb533ab9-61b0-479a-a3ce-76d0a3b9978a	[2,2,2,2,2,2,2,20,2,2]	[0.03409360,0.01789710,0.04381856,0.06085770,0.06132559,0.04080737,0.04071219,0.58742462,0.08263518,0.03042807]
fbedc5f3-3b3d-41cd-943e-b0f72b68f78e	[2,2,2,2,2,2,2,20,2,2]	[0.12451784,0.01123636,0.04559084,0.04905254,0.01835293,0.00895038,0.01872208,0.58356717,0.07675108,0.06325879]
38aa5429-7780-4193-a9e0-8c37f8e8c380	[2,2,2,2,2,2,2,20,2,2]	[0.02280857,0.08354849,0.02420778,0.05145361,0.04169882,0.03059703,0.06588992,0.61454929,0.02163303,0.04361345]
e268c1f3-204d-402e-b7df-f463b8f49f0f	[2,2,2,2,2,2,2,20,2,2]	[0.07282784,0.00181641,0.05671956,0.07390143,0.05859023,0.06064011,0.03948927,0.60179385,0.01386734,0.02035395]
44ab0893-934a-49d7-9d72-b000ddb4fcb4	[2,2,2,2,2,2,2,20,2,2]	[0.05720723,0.06737185,0.08949251,0.11610031,0.02210115,0.01546964,0.07647709,0.44571100,0.03891192,0.07115730]
66cdcf76-b2f5-45e3-b328-4163cfa7f0a3	[2,2,2,2,2,2,2,20,2,2]	[0.04928953,0.06887245,0.02128234,0.05359079,0.05277188,0.09264683,0.10696989,0.46477661,0.01803598,0.07176369]
9b6179e9-a234-4e47-83b7-c4756cccd963	[2,2,2,2,2,2,2,20,2,2]	[0.00964555,0.08315490,0.08770387,0.03000510,0.00278622,0.09422304,0.12369912,0.33005969,0.11805736,0.12066515]
7d859ed4-1cfe-4d22-adba-641c3d981dbc	[2,2,2,2,2,2,2,20,2,2]	[0.01895869,0.06590828,0.07734445,0.06893832,0.10216498,0.02502849,0.01247039,0.48289964,0.12754665,0.01874011]
4d7d2169-c6b8-4aa4-88e2-f8e469976568	[2,2,2,2,2,2,2,20,2,2]	[0.05854301,0.03282948,0.03411918,0.04589597,0.03538752,0.01067066,0.04592353,0.54227698,0.02606631,0.16828737]
2eefe206-fd8f-4ee7-a0f6-8029073d96f7	[2,2,2,2,2,2,2,20,2,2]	[0.01014846,0.03308590,0.04672354,0.12607232,0.01443190,0.09707693,0.03417700,0.46818872,0.06256738,0.10752784]
e5984a5a-d16c-45b7-9d4e-ef589e9bd8e7	[2,2,2,2,2,2,2,20,2,2]	[0.03665832,0.06874532,0.06190275,0.05966672,0.09801671,0.03021528,0.04099785,0.46393085,0.08228482,0.05758138]
